airport,STAND_mvt,RUNWAY_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LEMD,T32,36R,114,1114.219298245614,1108.3397108065114,5.879587439102682,-0.045445695730904845,155.56071742141592,113.78564248474947,154.9884938414919,342.9217194147693,2738443.387450976,0.0001228028071674254
EDDM,355,26L,121,809.8677685950413,816.9167254533724,-7.048956858331034,-27.827005470966924,150.12529010739456,115.20464950458688,149.66973422517535,310.2127496135206,2710524.5505071892,0.00012155081431438418
LSZH,E56,32,124,718.3548387096774,673.3173591460471,45.03747956363033,32.844805096703965,140.85385627917145,106.80232443484238,147.3369774899086,295.206317623809,2691814.9320468674,0.00012071179982955392
EHAM,C10,36L,101,1071.029702970297,1083.0723533309952,-12.042650360698056,2.525539568432123,163.58965023195185,113.68316673725005,163.2226485964829,409.61127254706753,2690804.9344999455,0.0001206665074804177
EHAM,C12,24,139,588.31654676259,595.5592839925952,-7.242737230005233,-9.00931046755403,139.40031762480038,101.44288546674088,139.08667804042418,288.5556318297721,2688969.4571565655,0.00012058419729964413
LSZH,F71,28,133,361.0827067669173,389.5195666151442,-28.436859848226874,-31.18782284119311,139.60892112101416,104.50469262398884,141.96041563604746,271.1551888936502,2680317.0278053936,0.00012019618759383429
EHAM,C18,24,141,544.7588652482269,553.0511672780189,-8.29230202979194,5.487077099524299,137.76927620885837,97.37748295678948,137.53008093608125,311.7940496231097,2666947.765882194,0.0001195966561587683
EHAM,B24,24,122,570.7295081967213,561.8316576260186,8.897850570702682,14.346950329756169,147.62061406708648,96.38363805343658,147.2833858799994,262.98761848218004,2646472.2822657702,0.0001186784531834101
LEMD,366,36R,120,956.8083333333333,959.2985912488728,-2.4902579155393854,-14.71063877730279,148.77917364059272,104.27977522265381,148.17889032996703,310.68185406324034,2634838.024730447,0.00011815672631799685
EHAM,C09,24,136,566.4926470588235,582.0946931981722,-15.602046139348726,-10.824366068581355,138.81523695805063,102.71563559363419,139.18119522898175,308.1274646837161,2634511.094330039,0.00011814206544492476
LEMD,326,36R,122,1062.77868852459,1063.526766952857,-0.7480784282669275,-3.3468557279837228,147.13957905237373,107.63203956616951,146.53721667856058,262.0822583392053,2619725.016371729,0.00011747899828472794
