airport,hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
EHAM,14,2525,804.1734653465346,802.5646838811184,1.6087814654163677,10.842740110353247,178.21604441492835,125.56924362417509,178.18801325366033,349.18424949348093,80171194.36989874,0.003595198559774903
LIRF,6,1027,939.6923076923077,949.9268823170258,-10.234574624718121,-12.857567863705299,278.1091352794467,173.9516272625172,278.16205053392395,480.8679749405751,79463227.76888266,0.003563450492101143
LEMD,7,1729,1080.604973973395,1050.270762175782,30.334211797613005,-5.519875009440284,209.7625476777806,140.98564443836975,211.88450247457138,427.08146803434937,77623528.2904023,0.0034809509738211136
LEMD,12,1625,1068.801846153846,1084.7188448704117,-15.916998716565447,-35.29170408607956,217.56355257373858,145.91875812877845,218.0782467445272,397.55670351392826,77281947.7676462,0.003465633130384806
LFPG,18,1822,910.3518111964873,911.9066222536753,-1.5548110571878653,-10.271017044936286,205.40238211525997,133.03904586097673,205.35189326451535,343.40882883365003,76832646.9226587,0.0034454846747767756
LEMD,6,1998,995.511011011011,984.9393593113947,10.571651699616393,-9.509272896631728,195.2259014795356,133.91752366187723,195.46313405908322,390.9862280361581,76335261.87884587,0.003423179930445302
LEBL,16,1458,892.1111111111111,906.1880974234414,-14.07698631233042,-30.454317625036254,227.11901488422313,142.51652686838477,227.4770958728394,426.3750475845361,75445418.89594835,0.003383275794855423
EDDM,9,2069,837.9574673755437,824.6753101930568,13.282157182486934,-7.955125635537513,189.24065912885305,134.0083896146022,189.66057552640726,368.03904902886075,74424276.05773763,0.0033374836460654082
LIRF,22,330,1255.2545454545455,1297.2706603663385,-42.01611491179307,-64.35085150636127,472.0245131555397,294.68417165616216,473.17789654357273,819.1647685394444,73886116.186542,0.003313350394601992
EDDM,8,1528,891.1924083769634,844.4087056930915,46.78370268387195,18.92523823627789,212.95866980420854,142.1361357154143,217.9688731200666,410.0850641667598,72595936.50402603,0.0032554935524670087
LSZH,10,1417,734.4805928016938,752.6862336513602,-18.205640849666434,-41.34389345779164,225.01808546095307,136.74603501016048,225.67421543409827,346.6626074589209,72166182.59221464,0.003236221659900793
LEMD,13,1780,1078.3803370786518,1094.6234439490345,-16.243106870382743,-38.05464011789803,200.5709073336267,143.00496840737915,201.17138713652125,355.2486959786199,72036470.06432915,0.0032304048288419084
EDDM,7,1798,857.9377085650723,818.6258073261728,39.31190123889941,10.46827934067403,192.7540997460438,132.82510964288565,196.6695309325241,376.5607992086193,69544670.10619986,0.0031186625042935144
LTFM,22,1737,972.9666090961427,988.9455588968899,-15.978949800747094,-29.659631370599755,198.94513612217392,146.01228248216728,199.52871494976293,390.9334049012479,69152936.951468,0.003101095615278364
EDDF,21,1001,923.3806193806194,914.6722730444878,8.708346336131582,-26.85058090062057,262.7480294444591,174.81321159592144,262.76109817368103,511.2469241843962,69112438.10815227,0.0030992794843811558
LEBL,5,1759,847.4303581580443,845.088348040258,2.3420101177864328,-14.286650418603813,197.5740432479412,132.9602400877752,197.53175872474748,376.84064169772347,68634061.64490476,0.0030778271611968154
LSZH,16,1687,728.669828097214,710.655877651217,18.013950445997093,-10.718301268259665,200.76183733460147,135.03349006454673,201.50912145683105,360.05153392659054,68502197.21312267,0.0030719138301188074
EHAM,15,2715,730.9506445672191,739.0698327519844,-8.119188184765308,-5.187974834295744,157.6004666163795,108.02408638031883,157.78048007939142,319.5355301006728,67589055.91243598,0.003030964904324428
