airport,bin,state
EDDF,5786679,0
EDDF,5786680,0
EDDF,5786681,0
EDDF,5786682,0
EDDF,5786683,0
EDDF,5786684,0
EDDF,5786685,0
EDDF,5786686,0
EDDF,5786687,0
EDDF,5786688,0
EDDF,5786689,0
EDDF,5786690,0
EDDF,5786691,0
EDDF,5786692,0
EDDF,5786693,0
EDDF,5786694,0
EDDF,5786695,0
EDDF,5786696,0
EDDF,5786697,0
EDDF,5786698,0
EDDF,5786699,0
EDDF,5786700,0
EDDF,5786701,0
EDDF,5786702,0
EDDF,5786703,0
EDDF,5786704,0
EDDF,5786705,0
EDDF,5786706,0
EDDF,5786707,0
EDDF,5786708,0
EDDF,5786709,0
EDDF,5786710,0
EDDF,5786711,0
EDDF,5786712,0
EDDF,5786713,0
EDDF,5786714,0
EDDF,5786715,0
EDDF,5786716,0
EDDF,5786717,0
EDDF,5786718,0
EDDF,5786719,0
EDDF,5786720,0
EDDF,5786721,0
EDDF,5786722,0
EDDF,5786723,0
EDDF,5786724,0
EDDF,5786725,0
EDDF,5786726,0
EDDF,5786727,0
EDDF,5786728,0
EDDF,5786729,0
EDDF,5786730,0
EDDF,5786731,0
EDDF,5786732,0
EDDF,5786733,0
EDDF,5786734,0
EDDF,5786735,0
EDDF,5786736,0
EDDF,5786737,0
EDDF,5786738,0
EDDF,5786739,0
EDDF,5786740,0
EDDF,5786741,0
EDDF,5786742,0
EDDF,5786743,0
EDDF,5786744,0
EDDF,5786745,0
EDDF,5786746,0
EDDF,5786747,0
EDDF,5786748,0
EDDF,5786749,0
EDDF,5786750,0
EDDF,5786751,0
EDDF,5786752,0
EDDF,5786753,0
EDDF,5786754,0
EDDF,5786755,0
EDDF,5786756,0
EDDF,5786757,0
EDDF,5786758,0
EDDF,5786759,0
EDDF,5786760,0
EDDF,5786761,0
EDDF,5786762,3
EDDF,5786763,3
EDDF,5786764,3
EDDF,5786765,3
EDDF,5786766,3
EDDF,5786767,3
EDDF,5786768,3
EDDF,5786769,3
EDDF,5786770,3
EDDF,5786771,3
EDDF,5786772,1
EDDF,5786773,1
EDDF,5786774,1
EDDF,5786775,1
EDDF,5786776,1
EDDF,5786777,1
EDDF,5786778,1
EDDF,5786779,1
EDDF,5786780,1
EDDF,5786781,1
EDDF,5786782,1
EDDF,5786783,1
EDDF,5786784,1
EDDF,5786785,1
EDDF,5786786,1
EDDF,5786787,1
EDDF,5786788,1
EDDF,5786789,1
